127.0.0.1, 2011-10-14 21:11:48, GET, /, HTTP/1.1, 500, 17.190000
127.0.0.1, 2011-10-14 21:11:48, GET, /, HTTP/1.1, 500, 2.840000
127.0.0.1, 2011-10-14 21:11:48, GET, /examples/static/favicon.ico, HTTP/1.1, 200, 0.098000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/default/ticket/init/127.0.0.1.2011-10-14.21-11-45.a04ca24d-9c5e-4a7d-add4-c849063d12c2, HTTP/1.1, 303, 1.019000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/default/index, HTTP/1.1, 200, 0.152000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.074000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.067000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.069000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.119000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.186000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.192000
127.0.0.1, 2011-10-14 21:11:52, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.202000
127.0.0.1, 2011-10-14 21:11:53, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.127000
127.0.0.1, 2011-10-14 21:11:53, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-10-14 21:11:53, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.032000
127.0.0.1, 2011-10-14 21:11:53, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.059000
127.0.0.1, 2011-10-14 21:11:54, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.057000
127.0.0.1, 2011-10-14 21:11:54, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.072000
127.0.0.1, 2011-10-14 21:11:59, POST, /admin/default/index, HTTP/1.1, 303, 0.118000
127.0.0.1, 2011-10-14 21:11:59, GET, /admin/default/ticket/init/127.0.0.1.2011-10-14.21-11-45.a04ca24d-9c5e-4a7d-add4-c849063d12c2, HTTP/1.1, 200, 0.181000
127.0.0.1, 2011-10-14 21:11:59, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2011-10-14 21:11:59, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.040000
127.0.0.1, 2011-10-14 21:11:59, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.041000
